title,artist,year,era,url
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,1965,hot100,"https://en.wikipedia.org/wiki/Mrs._Brown,_You%27ve_Got_a_Lovely_Daughter"
Ticket to Ride,The Beatles,1965,hot100,https://en.wikipedia.org/wiki/Ticket_to_Ride_(song)
"Help Me, Rhonda",The Beach Boys,1965,hot100,"https://en.wikipedia.org/wiki/Help_Me,_Rhonda"
Back in My Arms Again,The Supremes,1965,hot100,https://en.wikipedia.org/wiki/Back_in_My_Arms_Again
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,hot100,https://en.wikipedia.org/wiki/I_Can%27t_Help_Myself_(Sugar_Pie_Honey_Bunch)
Mr. Tambourine Man,The Byrds,1965,hot100,https://en.wikipedia.org/wiki/Mr._Tambourine_Man
"""I Can't Help Myself (Sugar Pie Honey Bunch)""",Four Tops,1965,hot100,
(I Can't Get No) Satisfaction,The Rolling Stones,1965,hot100,https://en.wikipedia.org/wiki/(I_Can%27t_Get_No)_Satisfaction
"I'm Henry VIII, I Am",Herman's Hermits,1965,hot100,"https://en.wikipedia.org/wiki/I%27m_Henery_the_Eighth,_I_Am"
I Got You Babe,Sonny & Cher,1965,hot100,https://en.wikipedia.org/wiki/I_Got_You_Babe
Help!,The Beatles,1965,hot100,https://en.wikipedia.org/wiki/Help!_(song)
Eve of Destruction,Barry McGuire,1965,hot100,https://en.wikipedia.org/wiki/Eve_of_Destruction_(song)
Hang On Sloopy,The McCoys,1965,hot100,https://en.wikipedia.org/wiki/Hang_On_Sloopy
Yesterday,The Beatles,1965,hot100,https://en.wikipedia.org/wiki/Yesterday_(song)
Get Off of My Cloud,The Rolling Stones,1965,hot100,https://en.wikipedia.org/wiki/Get_Off_of_My_Cloud
I Hear a Symphony,The Supremes,1965,hot100,https://en.wikipedia.org/wiki/I_Hear_a_Symphony
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,1965,hot100,https://en.wikipedia.org/wiki/Turn!_Turn!_Turn!
Over and Over,The Dave Clark Five,1965,hot100,https://en.wikipedia.org/wiki/Over_and_Over_(Bobby_Day_song)
The Sound of Silence,Simon & Garfunkel,1966,hot100,https://en.wikipedia.org/wiki/The_Sound_of_Silence
We Can Work It Out,The Beatles,1966,hot100,https://en.wikipedia.org/wiki/We_Can_Work_It_Out
"""The Sound of Silence""",Simon & Garfunkel,1966,hot100,
"""We Can Work It Out""",The Beatles,1966,hot100,
My Love,Petula Clark,1966,hot100,https://en.wikipedia.org/wiki/My_Love_(Petula_Clark_song)
Lightnin' Strikes,Lou Christie,1966,hot100,https://en.wikipedia.org/wiki/Lightnin%27_Strikes
These Boots Are Made for Walkin',Nancy Sinatra,1966,hot100,https://en.wikipedia.org/wiki/These_Boots_Are_Made_for_Walkin%27
The Ballad of the Green Berets,SSgt Barry Sadler,1966,hot100,https://en.wikipedia.org/wiki/The_Ballad_of_the_Green_Berets
(You're My) Soul and Inspiration,The Righteous Brothers,1966,hot100,https://en.wikipedia.org/wiki/(You%27re_My)_Soul_and_Inspiration
Good Lovin',The Young Rascals,1966,hot100,https://en.wikipedia.org/wiki/Good_Lovin%27
"Monday, Monday",The Mamas & the Papas,1966,hot100,"https://en.wikipedia.org/wiki/Monday,_Monday"
When a Man Loves a Woman,Percy Sledge,1966,hot100,https://en.wikipedia.org/wiki/When_a_Man_Loves_a_Woman_(song)
Paint It Black,The Rolling Stones,1966,hot100,https://en.wikipedia.org/wiki/Paint_It_Black
Paperback Writer,The Beatles,1966,hot100,https://en.wikipedia.org/wiki/Paperback_Writer
Strangers in the Night,Frank Sinatra,1966,hot100,https://en.wikipedia.org/wiki/Strangers_in_the_Night
"""Paperback Writer""",The Beatles,1966,hot100,
Hanky Panky,Tommy James and the Shondells,1966,hot100,https://en.wikipedia.org/wiki/Hanky_Panky_(Tommy_James_and_the_Shondells_song)
Wild Thing,The Troggs,1966,hot100,https://en.wikipedia.org/wiki/Wild_Thing_(The_Troggs_song)
Summer in the City,The Lovin' Spoonful,1966,hot100,https://en.wikipedia.org/wiki/Summer_in_the_City_(song)
Sunshine Superman,Donovan,1966,hot100,https://en.wikipedia.org/wiki/Sunshine_Superman_(song)
You Can't Hurry Love,The Supremes,1966,hot100,https://en.wikipedia.org/wiki/You_Can%27t_Hurry_Love
Cherish,The Association,1966,hot100,https://en.wikipedia.org/wiki/Cherish_(The_Association_song)
Reach Out I'll Be There,Four Tops,1966,hot100,https://en.wikipedia.org/wiki/Reach_Out_I%27ll_Be_There
96 Tears,? and the Mysterians,1966,hot100,https://en.wikipedia.org/wiki/96_Tears
Last Train to Clarksville,The Monkees,1966,hot100,https://en.wikipedia.org/wiki/Last_Train_to_Clarksville
Poor Side of Town,Johnny Rivers,1966,hot100,https://en.wikipedia.org/wiki/Poor_Side_of_Town_(Johnny_Rivers_song)
You Keep Me Hangin' On,The Supremes,1966,hot100,https://en.wikipedia.org/wiki/You_Keep_Me_Hangin%27_On
Winchester Cathedral,The New Vaudeville Band,1966,hot100,https://en.wikipedia.org/wiki/Winchester_Cathedral_(song)
Good Vibrations,The Beach Boys,1966,hot100,https://en.wikipedia.org/wiki/Good_Vibrations
"""Winchester Cathedral""",The New Vaudeville Band,1966,hot100,
I'm a Believer,The Monkees,1966,hot100,https://en.wikipedia.org/wiki/I%27m_a_Believer
I'm a Believer,The Monkees,1967,hot100,https://en.wikipedia.org/wiki/I%27m_a_Believer
Kind of a Drag,The Buckinghams,1967,hot100,https://en.wikipedia.org/wiki/Kind_of_a_Drag
Ruby Tuesday,The Rolling Stones,1967,hot100,https://en.wikipedia.org/wiki/Ruby_Tuesday_(song)
Love Is Here and Now You're Gone,The Supremes,1967,hot100,https://en.wikipedia.org/wiki/Love_Is_Here_and_Now_You%27re_Gone
Penny Lane,The Beatles,1967,hot100,https://en.wikipedia.org/wiki/Penny_Lane
Happy Together,The Turtles,1967,hot100,https://en.wikipedia.org/wiki/Happy_Together_(song)
Somethin' Stupid,Nancy Sinatra,1967,hot100,https://en.wikipedia.org/wiki/Somethin%27_Stupid
