album,artist,date,genre,name,score,tags,url
"Huncho Jack, Jack Huncho",Travis Scott & Quavo,2018-01-02T19:26:00-0500,hip hop,"Travis Scott & Quavo - Huncho Jack, Jack Huncho",6,travis scott | quavo | huncho jack | quality control music | 2017 | rap | hip hop | trap | southern hip hop | pop rap | 6/10 | review,https://www.theneedledrop.com/articles/2018/1/travis-scott-quavo-huncho-jack-jack-huncho
NO_ONE EVER REALLY DIES,N*E*R*D,2018-01-03T19:43:40-0500,i am other,N*E*R*D - NO_ONE EVER REALLY DIES,7,n.e.r.d | no one ever really dies | 2017 | i am other | columbia | rap | hip hop | synth punk | 7/10 | review,https://www.theneedledrop.com/articles/2018/1/nerd-noone-ever-really-dies
Pop 2,Charli XCX,2018-01-04T22:14:04-0500,pop 2,Charli XCX - Pop 2,7,charli xcx | pop 2 | mixtape | 2017 | pc music | asylum | pop | electropop | bubblegum bass | 7/10 | review,https://www.theneedledrop.com/articles/2018/1/charli-xcx-pop-2
Saturation III,Brockhampton,2017-12-15T17:45:31-0500,brockhampton,Brockhampton - Saturation III,8,brockhampton | saturation iii | 2017 | question everything | rap | hip hop | pop rap | experimental hip hop | alternative r&b | hardcore hip hop | 8/10 | review,https://www.theneedledrop.com/articles/2017/12/brockhampton-saturation-iii
Material Control,Glassjaw,2017-12-04T19:36:54-0500,rock,Glassjaw - Material Control,6,glassjaw | material control | 2017 | rock | post-hardcore | 6/10 | century media | review,https://www.theneedledrop.com/articles/2017/12/glassjaw-material-control
Who Built the Moon?,Noel Gallagher's High Flying Birds,2017-12-07T16:48:49-0500,rock,Noel Gallagher's High Flying Birds - Who Built the Moon?,6,noel gallagher's high flying birds | who built the moon | 2017 | sour mash | rock | pop rock | neo-psychedelia | 6/10,https://www.theneedledrop.com/articles/2017/12/noel-gallaghers-high-flying-birds-who-built-the-moon
Ash,Ibeyi,2017-12-07T16:51:10-0500,pop,Ibeyi - Ash,7,ibeyi | ash | 2017 | xl | pop | art pop | 7/10 | review,https://www.theneedledrop.com/articles/2017/12/ibeyi-ash
Highly Rare,Makaya McCraven,2017-12-09T23:25:00-0500,instrumental hip hop,Makaya McCraven - Highly Rare,7,makaya mccraven | highly rare | 2017 | international anthem | nu jazz | instrumental hip hop | other | 7/10 | review,https://www.theneedledrop.com/articles/2017/12/makaya-mccraven-highly-rare
1992 Deluxe,Princess Nokia,2017-12-10T23:28:12-0500,hip hop,Princess Nokia - 1992 Deluxe,8,princess nokia | 1992 deluxe | 2017 | rough trade | rap | hip hop | east coast | trap | cloud rap | 8/10 | review,https://www.theneedledrop.com/articles/2017/12/princess-nokia-1992-deluxe
Double or Nothing,Big Sean & Metro Boomin,2017-12-14T17:40:00-0500,hip hop,Big Sean & Metro Boomin - Double or Nothing,5,big sean | metro boomin | double or nothing | collaboration | 2017 | g.o.o.d. music | rap | hip hop | pop rap | trap | 5/10 | review,https://www.theneedledrop.com/articles/2017/12/big-sean-metro-boomin-double-or-nothing
SYRE,Jaden Smith,2017-11-21T23:18:49-0500,hip hop,Jaden Smith - SYRE,4,jaden smith | syre | 2017 | roc nation | rap | hip hop | alternative r&b | pop rap | 4/10 | review,https://www.theneedledrop.com/articles/2017/11/jaden-smith-syre
Kings,Sharon Jones & The Dap,2017-11-24T22:28:00-0500,pop,Sharon Jones & The Dap-Kings - Soul of a Woman,8,sharon jones | the dap-kings | 2017 | daptone | pop | soul | funk | soul of a woman | 8/10 | review,https://www.theneedledrop.com/articles/2017/11/sharon-jones-the-dap-kings-soul-of-a-woman
Utopia,Björk,2017-11-27T23:50:05-0500,pop,Björk - Utopia,7,bjork | utopia | 2017 | one little indian | pop | experimental | art pop | chamber music | field recordings | post-industrial | arca | 7/10 | review,https://www.theneedledrop.com/articles/2017/11/bjrk-utopia
Polygondwanaland,King Gizzard & The Lizard Wizard,2017-11-22T21:58:06-0500,rock,King Gizzard & The Lizard Wizard - Polygondwanaland,7,king gizzard & the lizard wizard | polygondwanaland | 2017 | flightless | rock | psychedelic rock | progressive rock | 7/10 | review,https://www.theneedledrop.com/articles/2017/11/king-gizzard-the-lizard-wizard-polygondwanaland
No Shame,Hopsin,2017-11-29T23:26:33-0500,hip hop,Hopsin - No Shame,4,hopsin | no shame | 2017 | undercover prodigy | rap | hip hop | 4/10 | review,https://www.theneedledrop.com/articles/2017/11/hopsin-no-shame
No Dope on Sundays,Cyhi the Prynce,2017-12-03T19:33:00-0500,hip hop,Cyhi the Prynce - No Dope on Sundays,5,cyhi the prynce | no dope on sundays | 2017 | sony | rap | hip hop | 5/10 | review,https://www.theneedledrop.com/articles/2017/12/cyhi-the-prynce-no-dope-on-sundays
The Thrill of It All,Sam Smith,2017-11-10T12:17:00-0500,pop,Sam Smith - The Thrill of It All,4,sam smith | the thrill of it all | 2017 | capitol | pop | soul | 4/10 | review,https://www.theneedledrop.com/articles/2017/11/sam-smith-the-thrill-of-it-all
Vicious,Skepta,2017-11-11T16:05:00-0500,hip hop,Skepta - Vicious,5,skepta | vicious | ep | 2017 | rap | hip hop | uk | grime | trap | 5/10 | review | boy better know,https://www.theneedledrop.com/articles/2017/11/skepta-vicious
I Tell a Fly,Benjamin Clementine,2017-11-13T16:09:42-0500,art pop,Benjamin Clementine - I Tell a Fly,5,benjamin clementine | i tell a fly | 2017 | behind | art pop | singer-songwriter | chamber music | other | 5/10 | review,https://www.theneedledrop.com/articles/2017/11/benjamin-clementine-i-tell-a-fly
Reputation,Taylor Swift,2017-11-14T21:20:26-0500,pop,Taylor Swift - Reputation,4,taylor swift | reputation | 2017 | big machine | pop | electropop | contemporary r&b | trap | 4/10 | review,https://www.theneedledrop.com/articles/2017/11/taylor-swift-reputation
Stranger,Yung Lean,2017-11-15T21:32:02-0500,hip hop,Yung Lean - Stranger,6,yung lean | stranger | 2017 | year00001 | rap | hip hop | cloud rap | alternative r&b | trap | ambient pop | 6/10 | review,https://www.theneedledrop.com/articles/2017/11/yung-lean-stranger
ken,Destroyer,2017-11-16T13:52:07-0500,pop,Destroyer - ken,5,destroyer | ken | 2017 | merge | pop | synthpop | new wave | sophisti-pop | 5/10 | review,https://www.theneedledrop.com/articles/2017/11/destroyer-ken
TFCF,Liars,2017-11-17T21:21:00-0500,experimental rock,Liars - TFCF,5,liars | tfcf | 2017 | mute | synth punk | post-industrial | experimental rock | avant-folk | 5/10 | review,https://www.theneedledrop.com/articles/2017/11/liars-tfcf
Rome,Armand Hammer,2017-11-20T19:47:06-0500,hip hop,Armand Hammer - Rome,6,armand hammer | rome | 2017 | backwoodz studioz | rap | hip hop | east coast | hardcore hip hop | abstract hip hop | 6/10 | review,https://www.theneedledrop.com/articles/2017/11/armand-hammer-rome
The Dusk in Us,Converge,2017-11-09T18:28:00-0500,loud rock,Converge - The Dusk in Us,8,converge | the dusk in us | 2017 | epitaph | deathwish | loud rock | metalcore | 8/10 | review,https://www.theneedledrop.com/articles/2017/11/converge-the-dusk-in-us
Plunge,Fever Ray,2017-10-31T18:08:46-0400,pop,Fever Ray - Plunge,5,fever ray | plunge | 2017 | rabid | pop | art pop | electropop | darkwave | electro-industrial | 5/10 | review,https://www.theneedledrop.com/articles/2017/10/fever-ray-plunge
4eva Is a Mighty Long Time,Big K.R.I.T.,2017-11-01T17:03:28-0400,hip hop,Big K.R.I.T. - 4eva Is a Mighty Long Time,9,big krit | 4eva is a mighty long time | 2017 | bmg | rap | hip hop | southern hip hop | conscious hip hop | dirty south | jazz rap | 9/10 | review,https://www.theneedledrop.com/articles/2017/11/big-krit-4eva-is-a-mighty-long-time
Pacific Daydream,Weezer,2017-11-02T23:38:29-0400,pop,Weezer - Pacific Daydream,4,weezer | pacific daydream | 2017 | atlantic | pop | pop rock | power pop | electropop | 4/10 | review,https://www.theneedledrop.com/articles/2017/11/weezer-pacific-daydream
Without Warning,"21 Savage, Offset & Metro Boomin",2017-11-03T21:32:00-0400,hip hop,"21 Savage, Offset & Metro Boomin - Without Warning",7,21 savage | offset | metro boomin | without warning | collaboration | 2017 | epic | rap | hip hop | trap | 7/10 | review,https://www.theneedledrop.com/articles/2017/11/21-savage-offset-metro-boomin-without-warning
RINA,Rina Sawayama,2017-11-07T22:20:01-0500,pop,Rina Sawayama - RINA,9,rina sawayama | rina | ep | 2017 | self-released | pop | electropop | glitch pop | 9/10 | review,https://www.theneedledrop.com/articles/2017/11/rina-sawayama-rina
Always Foreign,The World Is a Beautiful Place...,2017-10-30T19:53:14-0400,rock,The World Is a Beautiful Place... - Always Foreign,6,twiabp | the world is a beautiful place and i am no longer afraid to die | always foreign | 2017 | epitaph | rock | emo | post-rock | pop punk | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/the-world-is-a-beautiful-place-always-foreign
Mr. Davis,Gucci Mane,2017-10-19T15:50:56-0400,hip hop,Gucci Mane - Mr. Davis,5,gucci mane | mr. davis | 2017 | atlantic | rap | hip hop | trap | southern hip hop | pop rap | 5/10 | review,https://www.theneedledrop.com/articles/2017/10/gucci-mane-mr-davis
Colors,Beck,2017-10-19T16:41:00-0400,rock,Beck - Colors,4,beck | colors | 2017 | capitol | rock | pop rock | alternative dance | synthpop | adult contemporary | 4/10 | review,https://www.theneedledrop.com/articles/2017/10/beck-colors
Caustic,Primitive Man,2017-10-21T16:17:00-0400,loud rock,Primitive Man - Caustic,8,primitive man | caustic | 2017 | relapse | loud rock | doom metal | black metal | sludge metal | noise | 8/10 | review,https://www.theneedledrop.com/articles/2017/10/primitive-man-caustic
Humaniac,Lou the Human,2017-10-23T14:27:00-0400,hip hop,Lou the Human - Humaniac,7,lou the human | humaniac | 2017 | self-released | rap | hip hop | east coast | hardcore hip hop | horrorcore | 7/10 | review,https://www.theneedledrop.com/articles/2017/10/lou-the-human-humaniac
Super Slimey,Future & Young Thug,2017-10-25T17:15:00-0400,hip hop,Future & Young Thug - Super Slimey,5,future | young thug | super slimey | mixtape | 2017 | epic | rap | hip hop | trap | southern hip hop | pop rap | 5/10 | review,https://www.theneedledrop.com/articles/2017/10/future-young-thug-super-slimey
As You Were,Liam Gallagher,2017-10-26T17:19:36-0400,rock,Liam Gallagher - As You Were,6,liam gallagher | as you were | 2017 | warner bros | rock | britpop | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/liam-gallagher-as-you-were
The OOZ,King Krule,2017-10-18T23:48:00-0400,other,King Krule - The OOZ,4,king krule | the ooz | 2017 | true panther | other | art rock | trip hop | nu jazz | post-punk | 4/10 | review,https://www.theneedledrop.com/articles/2017/10/king-krule-the-ooz
Lil Pump,Lil Pump,2017-10-10T19:08:00-0400,hip hop,Lil Pump - Lil Pump,7,lil pump | self-titled | mixtape | 2017 | rap | hip hop | trap | pop rap | soundcloud | 7/10 | review,https://www.theneedledrop.com/articles/2017/10/lil-pump-lil-pump
Take Me Apart,Kelela,2017-10-11T21:33:49-0400,pop,Kelela - Take Me Apart,8,kelela | take me apart | 2017 | warp | pop | alternative r&b | art pop | uk bass | wonky | 8/10 | review,https://www.theneedledrop.com/articles/2017/10/kelela-take-me-apart
Poppy.Computer,Poppy,2017-10-12T13:53:00-0400,poppy,Poppy - Poppy.Computer,6,poppy | poppy.computer | 2017 | mad decent | pop | synthpop | electropop | dance pop | picopop | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/poppy-poppycomputer
Heaven Upside Down,Marilyn Manson,2017-10-13T13:56:00-0400,loud rock,Marilyn Manson - Heaven Upside Down,5,marilyn manson | heaven upside down | 2017 | loma vista | loud rock | industrial | alternative metal | gothic rock | 5/10 | review,https://www.theneedledrop.com/articles/2017/10/marilyn-manson-heaven-upside-down
Relatives in Descent,Protomartyr,2017-10-16T23:46:56-0400,rock,Protomartyr - Relatives in Descent,8,protomartyr | relatives in descent | 2017 | domino | rock | post-punk | art punk | noise rock | 8/10 | review,https://www.theneedledrop.com/articles/2017/10/protomartyr-relatives-in-descent
A Love Letter to You 2,Trippie Redd,2017-10-14T22:56:45-0400,hip hop,Trippie Redd - A Love Letter to You 2,5,trippie redd | a love letter to you 2 | mixtape | 2017 | strainge entertainment | rap | hip hop | trap | alternative r&b | soundcloud | 5/10 | review,https://www.theneedledrop.com/articles/2017/10/trippie-redd-a-love-letter-to-you-2
MASSEDUCTION,St. Vincent,2017-10-17T23:22:38-0400,pop,St. Vincent - MASSEDUCTION,6,st. vincent | masseduction | 2017 | loma vista | pop | art pop | synthpop | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/st-vincent-masseduction
Written at Night,Uncommon Nasa,2017-10-09T16:21:36-0400,hip hop,Uncommon Nasa - Written at Night,8,uncommon nasa | written at night | 2017 | man bites dog | rap | hip hop | east coast | abstract hip hop | conscious hip hop | 8/10 | review,https://www.theneedledrop.com/articles/2017/10/uncommon-nasa-written-at-night
Hiss Spun,Chelsea Wolfe,2017-09-28T20:52:19-0400,loud rock,Chelsea Wolfe - Hiss Spun,7,chelsea wolfe | hiss spun | sargent house | loud rock | doom metal | post-metal | gothic rock | darkwave | 7/10,https://www.theneedledrop.com/articles/2017/9/chelsea-wolfe-hiss-spun
Young Martha EP,Young Thug & Carnage,2017-09-29T14:35:02-0400,hip hop,Young Thug & Carnage - Young Martha EP,8,young thug | carnage | young martha | ep | rap | hip hop | trap | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/young-thug-carnage-young-martha-ep
Thrice Woven,Wolves in the Throne Room,2017-09-30T14:33:00-0400,loud rock,Wolves in the Throne Room - Thrice Woven,6,wolves in the throne room | thrice woven | 2017 | artemisia | loud rock | atmospheric black metal | dark ambient | black metal | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/wolves-in-the-throne-room-thrice-woven
Drive It Like It's Stolen EP,Injury Reserve,2017-10-03T14:56:00-0400,hip hop,Injury Reserve - Drive It Like It's Stolen EP,7,injury reserve | drive it like it's stolen | ep | 2017 | las fuegas | rap | hip hop | west coast | hardcore hip hop | alternative r&b | 7/10 | review,https://www.theneedledrop.com/articles/2017/10/injury-reserve-drive-it-like-its-stolen-ep
Deadstar,Smokepurpp,2017-10-03T20:58:00-0400,hip hop,Smokepurpp - Deadstar,6,smokepurpp | deadstar | mixtape | 2017 | rap | hip hop | interscope | trap | southern hip hop | 6/10 | review,https://www.theneedledrop.com/articles/2017/10/smokepurpp-deadstar
Wonderful Wonderful,The Killers,2017-10-01T14:36:11-0400,rock,The Killers - Wonderful Wonderful,6,the killers | wonderful wonderful | 2017 | rock | pop rock | new wave | alternative dance | alternative rock | 6/10 | spectrum pulse | review,https://www.theneedledrop.com/articles/2017/10/the-killers-wonderful-wonderful
Neō Wax Bloom,Iglooghost,2017-10-05T12:17:00-0400,electronic,Iglooghost - Neō Wax Bloom,8,iglooghost | neo wax bloom | 2017 | brainfeeder | electronic | wonky | uk bass | glitch hop | drill and bass | bubblegum bass | 8/10 | review,https://www.theneedledrop.com/articles/2017/10/iglooghost-ne-wax-bloom
Gemini,Macklemore,2017-09-27T20:49:00-0400,hip hop,Macklemore - Gemini,3,macklemore | gemini | 2017 | bendo | rap | hip hop | pop rap | 3/10 | review,https://www.theneedledrop.com/articles/2017/9/macklemore-gemini
Dedicated to Bobby Jameson,Ariel Pink,2017-09-20T15:03:48-0400,pop,Ariel Pink - Dedicated to Bobby Jameson,8,ariel pink | dedicated to bobby jameson | 2017 | mexican summer | pop | hypnagogic pop | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/ariel-pink-dedicated-to-bobby-jameson
Freudian,Daniel Caesar,2017-09-21T09:57:58-0400,pop,Daniel Caesar - Freudian,7,daniel caesar | freudian | 2017 | golden child | pop | contemporary r&b | neo-soul | 7/10 | review,https://www.theneedledrop.com/articles/2017/9/daniel-caesar-freudian
Brick Body Kids Still Daydream,Open Mike Eagle,2017-09-22T18:49:32-0400,hip hop,Open Mike Eagle - Brick Body Kids Still Daydream,8,open mike eagle | brick body kids still daydream | 2017 | mello music group | rap | hip hop | abstract hip hop | conscious hip hop | jazz rap | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/open-mike-eagle-brick-body-kids-still-daydream
Mareridt,Myrkur,2017-09-23T15:18:31-0400,loud rock,Myrkur - Mareridt,6,myrkur | mareridt | 2017 | relapse | loud rock | black metal | dark folk | atmospheric black metal | 6/10 | review,https://www.theneedledrop.com/articles/2017/9/myrkur-mareridt
Concrete and Gold,Foo Fighters,2017-09-24T16:55:29-0400,rock,Foo Fighters - Concrete and Gold,6,foo fighters | concrete and gold | 2017 | roswell | rock | hard rock | alternative rock | post-grunge | 6/10 | review,https://www.theneedledrop.com/articles/2017/9/foo-fighters-concrete-and-gold
Laila's Wisdom,Rapsody,2017-09-26T18:39:08-0400,hip hop,Rapsody - Laila's Wisdom,8,rapsody | laila's wisdom | 2017 | jamla | rap | hip hop | conscious hip hop | neo-soul | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/rapsody-lailas-wisdom
"""Luciferian Towers""",Godspeed You! Black Emperor,2017-09-26T18:41:42-0400,rock,"Godspeed You! Black Emperor - ""Luciferian Towers""",5,godspeed you! black emperor | luciferian towers | 2017 | constellation | rock | post-rock | drone | chamber music | 5/10 | review,https://www.theneedledrop.com/articles/2017/9/godspeed-you-black-emperor-luciferian-towers
Outrage! Is Now,Death from Above,2017-09-11T19:42:54-0400,rock,Death from Above - Outrage! Is Now,8,death from above 1979 | outrage is now | 2017 | last gang | rock | alternative rock | hard rock | dance-punk | post-hardcore | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/death-from-above-outrage-is-now
Okovi,Zola Jesus,2017-09-12T14:49:13-0400,pop,Zola Jesus - Okovi,6,zola jesus | okovi | 2017 | sacred bones | pop | art pop | darkwave | 6/10 | review,https://www.theneedledrop.com/articles/2017/9/zola-jesus-okovi
Antisocialites,Alvvays,2017-09-13T12:50:23-0400,pop,Alvvays - Antisocialites,8,alvvays | antisocialites | 2017 | polyvinyl | pop | indie pop | jangle pop | twee pop | dream pop | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/alvvays-antisocialites
Mourn,Corbin,2017-09-14T15:35:00-0400,pop,Corbin - Mourn,7,corbin | mourn | 2017 | wedidit | spooky black | pop | alternative r&b | minimal wave | post-punk | 7/10 | review,https://www.theneedledrop.com/articles/2017/9/corbin-mourn
Forced Witness,Alex Cameron,2017-09-15T18:20:47-0400,pop,Alex Cameron - Forced Witness,8,alex cameron | forced witness | 2017 | secretly canadian | pop | new wave | synthpop | soft rock | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/alex-cameron-forced-witness
Pharma,Nmesh,2017-09-16T13:15:15-0400,electronic,Nmesh - Pharma,7,nmesh | pharma | 2017 | orange milk | electronic | vaporwave | plunderphonics | ambient | glitch | drum and bass | sound collage | 7/10 | review,https://www.theneedledrop.com/articles/2017/9/nmesh-pharma
Sleep Well Beast,The National,2017-09-18T19:02:13-0400,rock,The National - Sleep Well Beast,7,the national | sleep well beast | 2017 | 4ad | rock | indie | art rock | chamber pop | post-punk | indietronic | 7/10 | review,https://www.theneedledrop.com/articles/2017/9/the-national-sleep-well-beast
American Dream,LCD Soundsystem,2017-09-05T13:07:00-0400,electronic,LCD Soundsystem - American Dream,6,lcd soundsystem | american dream | 2017 | dfa | electronic | indietronica | dance-punk | alternative dance | new wave | synthpop | post-punk | 6/10 | review,https://www.theneedledrop.com/articles/2017/9/lcd-soundsystem-american-dream
Blue Chips 7000,Action Bronson,2017-09-07T15:17:00-0400,hip hop,Action Bronson - Blue Chips 7000,6,action bronson | blue chips 7000 | 2017 | rap | hip hop | atlantic | east coast | boom bap | 6/10 | review,https://www.theneedledrop.com/articles/2017/9/action-bronson-blue-chips-7000
Bicep,Bicep,2017-09-08T12:24:00-0400,electronic,Bicep - Bicep,7,bicep | self-titled | 2017 | ninja tune | electronic | uk garage | house | deep house | ambient trance | 7/10 | review,https://www.theneedledrop.com/articles/2017/9/bicep-bicep
Villains,Queens of the Stone Age,2017-08-30T22:10:37-0400,rock,Queens of the Stone Age - Villains,6,queens of the stone age | villains | 2017 | matador | rock | alternative rock | garage rock | desert rock | 6/10 | review,https://www.theneedledrop.com/articles/2017/8/queens-of-the-stone-age-villains
Boy Who Cried Wolf,wifisfuneral,2017-09-10T23:21:27-0400,hip hop,wifisfuneral - Boy Who Cried Wolf,7,wifisfuneral | boy who cried wolf | mixtape | 2017 | self-released | rap | hip hop | cloud rap | southern hip hop | 7/10 | quickie | review,https://www.theneedledrop.com/articles/2017/9/wifisfuneral-boy-who-cried-wolf
Cozy Tapes Vol. 2: Too Cozy,A$AP Mob,2017-08-31T23:48:27-0400,hip hop,A$AP Mob - Cozy Tapes Vol. 2: Too Cozy,4,a$ap mob | cozy tapes vol. 2 | too cozy | 2017 | rap | hip hop | trap | cloud rap | 4/10 | review,https://www.theneedledrop.com/articles/2017/8/aap-mob-cozy-tapes-vol-2-too-cozy
Orc,Oh Sees,2017-09-01T22:27:34-0400,rock,Oh Sees - Orc,8,thee oh sees | orc | 2017 | oh sees | castle face | rock | psychedelic rock | garage rock | heavy psych | 8/10 | review,https://www.theneedledrop.com/articles/2017/9/oh-sees-orc
A Deeper Understanding,The War on Drugs,2017-09-01T22:30:11-0400,rock,The War on Drugs - A Deeper Understanding,5,the war on drugs | a deeper understanding | 2017 | atlantic | rock | heartland | neo-psychedelia | americana | dream pop | 5/10 | review,https://www.theneedledrop.com/articles/2017/9/the-war-on-drugs-a-deeper-understanding
Luv Is Rage 2,Lil Uzi Vert,2017-08-27T16:54:19-0400,hip hop,Lil Uzi Vert - Luv Is Rage 2,3,lil uzi vert | luv is rage 2 | 2017 | atlantic | rap | hip hop | trap | 3/10 | review,https://www.theneedledrop.com/articles/2017/8/lil-uzi-vert-luv-is-rage-2
17,XXXTentacion,2017-08-28T16:00:13-0400,hip hop,XXXTentacion - 17,2,xxxtentacion | 17 | empire | rap | hip hop | singer-songwriter | lo-fi | alternative r&b | cloud rap | 2/10 | review,https://www.theneedledrop.com/articles/2017/8/xxxtentacion-17
Saturation II,Brockhampton,2017-08-29T16:03:25-0400,brockhampton,Brockhampton - Saturation II,8,brockhampton | saturation ii | 2017 | empire | rap | hip hop | pop rap | alternative r&b | west coast | 8/10 | review,https://www.theneedledrop.com/articles/2017/8/brockhampton-saturation-ii
Science Fiction,Brand New,2017-08-22T19:41:03-0400,rock,Brand New - Science Fiction,7,brand new | science fiction | 2017 | self-released | rock | indie | emo | post-hardcore | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/brand-new-science-fiction
Still Striving,A$AP Ferg,2017-08-24T22:07:00-0400,hip hop,A$AP Ferg - Still Striving,6,a$ap ferg | still striving | mixtape | 2017 | rap | hip hop | trap | shawn cee | 6/10,https://www.theneedledrop.com/articles/2017/8/aap-ferg-still-striving
A Fever Dream,Everything Everything,2017-08-24T23:02:00-0400,pop,Everything Everything - A Fever Dream,6,everything everything | a fever dream | 2017 | uk | rca | pop | art pop | alternative dance | synthpop | indietronic | 6/10 | review,https://www.theneedledrop.com/articles/2017/8/everything-everything-a-fever-dream
Painted Ruins,Grizzly Bear,2017-08-26T14:12:00-0400,rock,Grizzly Bear - Painted Ruins,6,grizzly bear | painted ruins | 2017 | rca | rock | indie | art rock | neo-psychedelia | chamber pop | 6/10 | review,https://www.theneedledrop.com/articles/2017/8/grizzly-bear-painted-ruins
Sketches of Brunswick East,King Gizzard & The Lizard Wizard w/ Mild High Club,2017-08-25T18:06:29-0400,rock,King Gizzard & The Lizard Wizard w/ Mild High Club - Sketches of Brunswick East,5,king gizzard & the lizard wizard | mild high club | sketches of brunswick east | collaboration | flightless | rock | 2017 | melbourne | psychedelic pop | jazz-funk | jazz rock | 5/10 | review,https://www.theneedledrop.com/articles/2017/8/king-gizzard-the-lizard-wizard-w-mild-high-club-sketches-of-brunswick-east
Project Baby 2,Kodak Black,2017-08-21T20:38:43-0400,hip hop,Kodak Black - Project Baby 2,5,kodak black | project baby 2 | mixtape | 2017 | atlantic | rap | hip hop | trap | southern hip hop | 5/10 | review,https://www.theneedledrop.com/articles/2017/8/kodak-black-project-baby-2
Rainbow,Kesha,2017-08-15T20:55:34-0400,pop,Kesha - Rainbow,7,kesha | rainbow | 2017 | kemosabe | rca | pop | pop rock | soul | country | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/kesha-rainbow
who told you to think??!!?!?!?!,milo,2017-08-16T15:26:33-0400,hip hop,milo - who told you to think??!!?!?!?!,7,milo | who told you to think | 2017 | ruby yacht | rap | hip hop | abstract hip hop | jazz rap | glitch hop | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/milo-who-told-you-to-think
Black Ken,Lil B,2017-08-19T20:17:16-0400,hip hop,Lil B - Black Ken,5,lil b | black ken | mixtape | 2017 | basedworld | rap | hip hop | west coast | experimental hip hop | hyphy | 5/10 | review,https://www.theneedledrop.com/articles/2017/8/lil-b-black-ken
YouWillRegret,Ski Mask the Slump God,2017-08-10T17:56:33-0400,hip hop,Ski Mask the Slump God - YouWillRegret,6,ski mask the slump god | you will regret | mixtape | 2017 | republic | rap | hip hop | trap | southern hip hop | 6/10 | review,https://www.theneedledrop.com/articles/2017/8/ski-mask-the-slump-god-you-will-regret
Self,Dead Cross,2017-08-11T21:49:53-0400,loud rock,Dead Cross - Self-Titled,7,dead cross | self-titled | 2017 | ipecac | loud rock | crossover thrash | hardcore punk | post-hardcore | alternative metal | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/dead-cross-self-titled
Self,Alice Glass,2017-08-21T20:36:29-0400,pop,Alice Glass - Self-Titled EP,7,alice glass | self-titled | ep | 2017 | loma vista | pop | electropop | witch house | post-industrial | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/alice-glass-self-titled-ep
Good for You,Aminé,2017-08-01T14:50:13-0400,hip hop,Aminé - Good for You,5,amine | good for you | 2017 | republic | rap | hip hop | west coast | pop rap | contemporary r&b | 5/10 | review,https://www.theneedledrop.com/articles/2017/8/amin-good-for-you
The Autobiography,Vic Mensa,2017-08-02T22:05:37-0400,hip hop,Vic Mensa - The Autobiography,6,vic mensa | the autobiography | 2017 | roc nation | rap | hip hop | pop rap | contemporary r&b | 6/10 | review,https://www.theneedledrop.com/articles/2017/8/vic-mensa-the-autobiography
Wrong One to Fuck With,Dying Fetus,2017-08-03T12:28:00-0400,loud rock,Dying Fetus - Wrong One to Fuck With,8,dying fetus | wrong one to fuck with | 2017 | relapse | loud rock | brutal death metal | technical death metal | deathgrind | 8/10 | review,https://www.theneedledrop.com/articles/2017/8/dying-fetus-wrong-one-to-fuck-with
Thin Black Duke,Oxbow,2017-08-07T20:23:14-0400,rock,Oxbow - Thin Black Duke,8,oxbow | thin black duke | 2017 | hydra head | rock | art rock | experimental rock | noise rock | chamber music | 8/10 | review,https://www.theneedledrop.com/articles/2017/8/oxbow-thin-black-duke
The Booty Tape,Ugly God,2017-08-08T13:36:39-0400,hip hop,Ugly God - The Booty Tape,5,ugly god | booty tape | mixtape | 2017 | asylum | rap | hip hop | trap | southern hip hop | cloud rap | comedy rap | 5/10 | review,https://www.theneedledrop.com/articles/2017/8/ugly-god-the-booty-tape
Satan's Graffiti or God's Art?,Black Lips,2017-08-09T18:06:31-0400,rock,Black Lips - Satan's Graffiti or God's Art?,7,black lips | satan's graffiti or god's art | 2017 | vice | rock | garage rock | 7/10 | review,https://www.theneedledrop.com/articles/2017/8/black-lips-satans-graffiti-or-gods-art
Everything Now,Arcade Fire,2017-07-31T21:35:21-0400,pop,Arcade Fire - Everything Now,4,arcade fire | everything now | 2017 | sonovox | pop | alternative dance | synthpop | disco | indie rock | 4/10 | review,https://www.theneedledrop.com/articles/2017/7/arcade-fire-everything-now
