album,artist,date,genre,name,score,tags,url
Seek Shelter,Iceage,2021-05-15T23:08:00-0400,rock,Iceage - Seek Shelter,7,iceage | seek shelter | album | 2021 | mexican summer | rock | post-punk | punk blues | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/iceage-seek-shelter
Nurture,Porter Robinson,2021-05-02T22:50:00-0400,mom + pop,Porter Robinson - Nurture,8,porter robinson | nurture | 2021 | album | mom + pop | electronic | pop | electropop | glitch | folktronica | 8/10 | review,https://www.theneedledrop.com/articles/2021/5/porter-robinson-nurture
Khaled Khaled,DJ Khaled,2021-05-05T01:29:35-0400,hip hop,DJ Khaled - Khaled Khaled,4,dj khaled | khaled khaled | album | 2021 | we the best | rap | hip hop | pop rap | trap | dancehall | 4/10 | review,https://www.theneedledrop.com/articles/2021/5/dj-khaled-khaled-khaled
SKA DREAM,Jeff Rosenstock,2021-04-21T22:42:00-0400,rock,Jeff Rosenstock - SKA DREAM,8,jeff rosenstock | ska dream | no dream | 2021 | album | remake | polyvinyl | rock | ska | third wave | punk | 8/10 | review,https://www.theneedledrop.com/articles/2021/4/jeff-rosenstock-ska-dream
La maquina,Conway the Machine,2021-04-23T23:34:00-0400,hip hop,Conway the Machine - La maquina,7,conway the machine | la maquina | 2021 | album | griselda | rap | hip hop | east coast | 7/10 | review,https://www.theneedledrop.com/articles/2021/4/conway-the-machine-la-maquina
Violence Unimagined,Cannibal Corpse,2021-04-24T19:36:00-0400,loud rock,Cannibal Corpse - Violence Unimagined,7,cannibal corpse | violence unimagined | 2021 | album | metal blade | loud rock | metal | death metal | 7/10 | review,https://www.theneedledrop.com/articles/2021/4/cannibal-corpse-violence-unimagined
Michigan Boy Boat,Lil Yachty,2021-04-26T23:39:00-0400,hip hop,Lil Yachty - Michigan Boy Boat,4,lil yachty | michigan boy boat | 2021 | mixtape | quality control | rap | hip hop | trap | 4/10 | review,https://www.theneedledrop.com/articles/2021/4/lil-yachty-michigan-boy-boat
A Diabolic Thirst,Spectral Wound,2021-04-27T23:57:00-0400,loud rock,Spectral Wound - A Diabolic Thirst,6,spectral wound | a diabolic thirst | 2021 | album | profound lore | loud rock | metal | black metal | 6/10 | review,https://www.theneedledrop.com/articles/2021/4/spectral-wound-a-diabolic-thirst
The Battle at Garden's Gate,Greta Van Fleet,2021-04-29T13:11:00-0400,rock,Greta Van Fleet - The Battle at Garden's Gate,2,greta van fleet | battle at garden's gate | 2021 | album | republic | lava | rock | hard rock | 2/10 | review,https://www.theneedledrop.com/articles/2021/4/greta-van-fleet-the-battle-at-gardens-gate
"Entertainment, Death",Spirit of the Beehive,2021-04-15T21:36:00-0400,rock,"Spirit of the Beehive - Entertainment, Death",7,spirit of the beehive | entertainment death | 2021 | album | saddle creek | rock | noise pop | indie | neo-psychedelia | 7/10 | review,https://www.theneedledrop.com/articles/2021/4/spirit-of-the-beehive-entertainment-death
